,year,title,ratings,madeit,reviews,photos,submitter_description,ingredients,readyin,servings,nutrition,calories,fat,carbohydrate,protein,carbohydrates,instructions
0,,No Bake Cookies I,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F467751.jpg,,"['1 ¾ cups white sugar', '½ cup milk', '½ cup butter', '4 tablespoons unsweetened cocoa powder', '½ cup crunchy peanut butter', '3 cups quick-cooking oats', '1 teaspoon vanilla extract']",0,3 dozen,"          110.3 calories;           2 g protein;           15.6 g carbohydrates;           7 mg cholesterol;           37.5 mg sodium.        Full Nutrition
",,,,,,"In a medium saucepan, combine sugar, milk, butter, and cocoa. Bring to a boil, and cook for 1 1/2 minutes. Remove from heat, and stir in peanut butter, oats, and vanilla. Drop by teaspoonfuls onto wax paper. Let cool until hardened.
"
1,,Best Cheesecake on Earth,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F10012.jpg,,"['1 ½ pounds ricotta cheese', '16 ounces cream cheese', '1 cup white sugar', '6 eggs', '6 tablespoons all-purpose flour', '1 cup sour cream', '1 teaspoon vanilla extract']",0,1 - 10 inch round cake,"          366.8 calories;           13.5 g protein;           24.6 g carbohydrates;           160.6 mg cholesterol;           228.1 mg sodium.        Full Nutrition
",,,,,,"Preheat oven to 325 degrees F (165 degrees C.) Wrap the outside bottom of a 10 inch springform pan with foil to prevent water seeping in while baking.

Cream together ricotta cheese, cream cheese and sugar until smooth.  Mix in the eggs one at a time.  Add flour one tablespoon at a time, mixing well. Stir in the sour cream and vanilla. Pour mixture into a 10 inch springform pan.

Place cheesecake in a large rectangular pan filled with 2 inches of hot water. Carefully put into preheated oven without spilling water. Bake for 90 minutes.

After 90 minutes turn oven off, but leave the cake in the oven for another 60 minutes (do not open door).

Cool on counter for 60 minutes and then refrigerate. Serve when thoroughly chilled.
"
2,,Pho Ga Soup,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F2354565.jpg,,"['1 tablespoon vegetable oil', '1 small yellow onion, chopped', '1 (8 ounce) package baby bella mushrooms, chopped', '4 cloves garlic, minced', '8 cups water', '1 (6.75 ounce) package rice stick noodles (such as Maifun®)', '8 teaspoons chicken bouillon', '2 cooked chicken breasts, shredded', '4 eaches green onions, chopped', '⅓ cup chopped fresh cilantro', '2 cups bean sprouts', '1 lime, sliced into wedges', '1 dash Sriracha hot sauce, or more to taste']",0,6 servings,"          230.6 calories;           13.5 g protein;           32 g carbohydrates;           27.5 mg cholesterol;           148.9 mg sodium.        Full Nutrition
",,,,,,"Heat  vegetable oil in a large saucepan over medium-high heat; saute onion, mushrooms, and garlic until tender, 5 to 10 minutes. Add water, rice noodles, and chicken bouillon to onion mixture; bring to a boil. Reduce heat to low.

Mix shredded chicken, green onions, and cilantro into soup; simmer for 5 minutes more. Transfer soup to serving bowls and top with bean sprouts, a squeeze of lime juice, and Sriracha hot sauce.
"
3,,Chef John's Lemon Bars,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4539518.jpg,,"['1 cup all-purpose flour', '½ cup unsalted butter at room temperature', ""¼ cup confectioners' sugar"", '¼ teaspoon vanilla extract', '¼ teaspoon salt', '2 large eggs', '1 large egg yolk', '1 cup white sugar', '2 tablespoons all-purpose flour', '¼ cup freshly squeezed lemon juice', '1 tablespoon freshly grated lemon zest', ""1 teaspoon confectioners' sugar, or to taste""]",100,1 8x8-inch pan,"          153 calories;           6.7 g total fat;           51 mg cholesterol;           47 mg sodium.          21.8 g carbohydrates;           1.9 g protein;         Full Nutrition
",,,,,,"Place an oven rack into middle position in oven and preheat oven to 350 degrees F (175 degrees C). Lightly oil an 8x8-inch baking dish.
Place 1 cup flour and butter in a mixing bowl and mash with the back of a spatula or wooden spoon until thoroughly combined. Mix in 1/4 cup confectioners' sugar, vanilla extract, and salt; mash mixture together until mixture looks like a slightly crumbly cookie dough.
Moisten your fingers with a little water and press dough into bottom of prepared baking dish. Use a fork to prick holes all over the crust.
Bake crust on center rack in the preheated oven until crust edges are barely golden brown, 22 minutes.
Beat eggs and egg yolks together in a bowl; whisk in white sugar and 2 tablespoons flour until smooth. Add lemon juice and lemon zest; whisk for 2 minutes. Pour lemon custard over crust.
Bake on center rack until custard is set and top has a thin white sugary crust, 25 minutes. Let cool completely before cutting into bars. Dip knife into very hot water, run around the edge, and cut into 16 squares. Dust cookies with 1 teaspoon confectioners' sugar."
4,,Chicken Enchilada Soup,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F903316.jpg,,"['4 cups water', '4 skinless, boneless chicken breast halves', '1 (10.75 ounce) can condensed cream of chicken soup', '1 (15 ounce) can whole kernel corn, drained', '1 (15 ounce) can ranch-style beans, undrained', '1 (14.5 ounce) can stewed tomatoes, undrained', '1 ½ tablespoons ground cumin', '1 ½ tablespoons chili powder', '1 ½ teaspoons garlic powder', '1 tablespoon butter', '½ onion, chopped', '1 pinch salt and ground black pepper to taste']",0,8 servings,"          220.2 calories;           17.6 g protein;           25.7 g carbohydrates;           37.3 mg cholesterol;           828.8 mg sodium.        Full Nutrition
",,,,,,"Bring water to a boil in a dutch oven or large pot; cook chicken breasts in boiling water over medium-high heat until chicken is no longer pink in the center, about 20 minutes. Remove chicken from pot and shred, reserving cooking liquid.

Stir cream of chicken soup, corn beans, and tomatoes into cooking liquid. Add shredded chicken; season with cumin, chili powder, and garlic powder and continue simmering.

Melt butter in a skillet over medium heat; cook and stir onion until lightly browned, about 15 minutes. Stir onion into soup and season with salt and black pepper.
"
5,,Oh-So-Good Chicken,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F6643004.jpg,,"['4 teaspoons olive oil', '6 tablespoons sour cream', '4 ounces shredded Cheddar cheese', '2 cups fresh sliced mushrooms', '1 (16 ounce) jar salsa', '2 cups cooked white rice', '8 ounces boneless chicken breast halves, cooked and diced']",0,4 - 6 servings,"          356.9 calories;           22.4 g protein;           25.4 g carbohydrates;           65 mg cholesterol;           717.5 mg sodium.        Full Nutrition
",,,,,,"In a skillet, heat oil over medium heat.  Saute mushrooms.

Combine mushrooms, sour cream, cheese, salsa, rice, and chicken.  Place in a greased casserole dish.

Bake at 350 degrees F (175 degrees C) for 25 to 35 minutes.
"
6,,Gluten-Free Buckwheat Avocado Salad,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1132561.jpg,,"['1 cup water', '½ cup buckwheat groats', '1 small avocado - peeled, pitted, and diced', '5 eaches cherry tomatoes, diced', '1 lime, juiced', '2 tablespoons thinly sliced red onion', '1 ½ tablespoons extra-virgin olive oil', '1 tablespoon chopped fresh flat-leaf parsley', '½ teaspoon fennel seed', '½ teaspoon cayenne pepper', '¼ teaspoon freshly ground mixed peppercorns', '¼ cup soft goat cheese, crumbled']",0,2 servings,"          464.2 calories;           12 g protein;           45.3 g carbohydrates;           13.8 mg cholesterol;           106.8 mg sodium.        Full Nutrition
",,,,,,"Combine water and buckwheat in a saucepan; bring to a boil. Reduce heat to medium-low, cover the saucepan, and simmer until the buckwheat is firm yet tender to the bite, about 8 minutes. Rinse buckwheat under cold water and drain.

Stir avocado, cherry tomatoes, lime juice, red onion, olive oil, parsley, fennel seed, cayenne pepper, and mixed pepper together in a large bowl until evenly combined. Add buckwheat groats and stir gently; top with goat cheese.
"
7,,Cheddar-Scallion Buttermilk Biscuits,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F8123131.jpg,,"['2 ¼ cups all-purpose flour', '1 tablespoon baking powder', '1 teaspoon salt', '1 teaspoon grill seasoning (such as McCormick® Grill Mates® Montreal Steak Seasoning)', '¼ teaspoon baking soda', '¾ cup cold, unsalted butter, shredded on a box grater', '1 ¼ cups buttermilk', '¾ cup shredded sharp Cheddar cheese', '¼ cup minced green onion, white and green parts', '2 tablespoons unsalted butter, melted']",45,18 biscuits,"          167 calories;           11.2 g total fat;           30 mg cholesterol;           309 mg sodium.          13.1 g carbohydrates;           3.7 g protein;         Full Nutrition
",,,,,,"Preheat the oven to 375 degrees F (190 degrees C). Line a baking sheet with parchment paper and set aside.
Whisk flour, baking powder, salt, steak seasoning, and baking soda together in a large bowl. Add shredded butter  and blend with your fingertips until the mixture is crumbly.
Gradually pour buttermilk into the bowl, stirring with a stiff rubber spatula until you have a soft, moist dough that holds together. Fold in Cheddar cheese and scallions quickly, mixing just until all of the flour is incorporated.
Drop biscuit dough onto a large baking pan using a two-tablespoon cookie scoop, spacing them 3 to a row. Gently brush tops of biscuits with melted butter.
Bake until biscuits are cooked through and golden brown on the outside and nicely risen, 17 to 22 minutes. Let cool on the pan for about 5 minutes, and serve warm."
8,,Hawaiian Sweet Bread,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F2692064.jpg,,"['1 cup warm water', '5 tablespoons white sugar', '3 cups all-purpose flour', '¾ teaspoon salt', '2 tablespoons dry milk powder', '2 tablespoons dry potato flakes', '1 tablespoon active dry yeast', '¼ teaspoon vanilla extract', '¼ teaspoon lemon extract', '2 eggs', '4 tablespoons margarine']",0,1 - 2 pound loaf,"          149.7 calories;           4.2 g protein;           24.5 g carbohydrates;           25 mg cholesterol;           165.3 mg sodium.        Full Nutrition
",,,,,,"Measure ingredients into the bread machine in the order suggested by the manufacturer.

Set machine for dough.

Place dough in a 9x5 inch loaf pan. Allow to rise until doubled. Preheat the oven to 350 degrees F (175 degrees C).

Bake in the preheated oven for about 30 minutes. Crust should be golden and bread should sound hollow when thumped.
"
9,,Instant Pot® Chicken Cacciatore,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4558738.jpg,,"['4 (6 ounce) bone-in chicken thighs, with skin', '2 tablespoons olive oil', '3 stalks celery, chopped', '½ onion, chopped', '1 (4 ounce) package sliced fresh mushrooms', '2 cloves garlic, minced', '1 (14 ounce) can stewed tomatoes', '2 teaspoons herbes de Provence', '¾ cup water', '3 cubes chicken bouillon, crumbled', '2 tablespoons tomato paste', '1 pinch red pepper flakes', '1 pinch ground black pepper to taste']",0,4 chicken thighs,"          392.4 calories;           29.9 g protein;           13.6 g carbohydrates;           96.1 mg cholesterol;           1072.6 mg sodium.        Full Nutrition
",,,,,,"Rinse chicken thighs and pat dry with paper towels. Heat oil in the pot of an electric pressure cooker (such as Instant Pot&reg;) on ""Saute"" mode; add chicken. Cook until browned, about 6 minutes per side. Transfer chicken to a plate, reserving drippings in the pot.

Place celery, onion, and mushrooms in the pot; cook and stir until soft, about 5 minutes. Add garlic; cook until fragrant, about 2 minutes. Place chicken back in the pot; add tomatoes and tomato paste. Sprinkle with herbes de Provence. Top with water and bouillon.

Close and lock the lid. Select high pressure according to manufacturer's instructions. Allow 10 to 15 minutes for pressure to build. Cook for 11 minutes.

Release pressure carefully using the quick-release method according to manufacturer's instructions, about 5 minutes. Unlock and remove lid carefully, turning it away from you. Test chicken for doneness; an instant-read thermometer inserted near the bone should read 165 degrees F (74 degrees C). Season the chicken to taste with red pepper flakes and black pepper.
"
